Ref,Val,Package,PosX,PosY,Rot,Side
"Q11","2N7002","SOT-23",58.700000,-52.600000,0.000000,top
"Q12","2N7002","SOT-23",58.700000,-48.800000,0.000000,top
"Q13","2N7002","SOT-23",58.700000,-60.200000,0.000000,top
"Q14","2N7002","SOT-23",62.400000,-64.000000,0.000000,top
"Q15","2N7002","SOT-23",58.700000,-64.000000,0.000000,top
"Q16","2N7002","SOT-23",62.400000,-113.500000,0.000000,top
"Q17","2N7002","SOT-23",62.400000,-94.800000,0.000000,top
"Q18","2N7002","SOT-23",62.400000,-109.800000,0.000000,top
"Q19","2N7002","SOT-23",62.400000,-106.000000,0.000000,top
"Q20","2N7002","SOT-23",62.400000,-98.500000,0.000000,top
"Q21","2N7002","SOT-23",58.800000,-113.500000,0.000000,top
"Q22","2N7002","SOT-23",58.800000,-109.800000,0.000000,top
"Q23","2N7002","SOT-23",58.800000,-106.000000,0.000000,top
"Q24","2N7002","SOT-23",58.800000,-98.500000,0.000000,top
"Q25","2N7002","SOT-23",58.800000,-117.300000,0.000000,top
"Q26","2N7002","SOT-23",58.800000,-102.200000,0.000000,top
"Q27","2N7002","SOT-23",62.384940,-72.112301,0.000000,top
"Q28","2N7002","SOT-23",62.384940,-83.512301,0.000000,top
"Q29","2N7002","SOT-23",58.684940,-83.512301,0.000000,top
"Q30","2N7002","SOT-23",58.684940,-72.112301,0.000000,top
"Q31","2N7002","SOT-23",62.384940,-75.912301,0.000000,top
"Q32","2N7002","SOT-23",62.384940,-87.312301,0.000000,top
"Q33","2N7002","SOT-23",58.684940,-79.712301,0.000000,top
"Q34","2N7002","SOT-23",58.684940,-75.912301,0.000000,top
"Q35","2N7002","SOT-23",58.684940,-87.312301,0.000000,top
"Q36","2N7002","SOT-23",62.384940,-91.112301,0.000000,top
"Q37","2N7002","SOT-23",58.684940,-91.112301,0.000000,top
"Q38","2N7002","SOT-23",62.500000,-144.200000,0.000000,top
"Q39","2N7002","SOT-23",58.800000,-144.200000,0.000000,top
"Q40","2N7002","SOT-23",62.500000,-155.600000,0.000000,top
"Q41","2N7002","SOT-23",62.500000,-159.400000,0.000000,top
"Q42","2N7002","SOT-23",62.500000,-151.800000,0.000000,top
"Q43","2N7002","SOT-23",62.500000,-148.000000,0.000000,top
"Q44","2N7002K","SOT-23",58.800000,-159.400000,0.000000,top
"Q45","2N7002","SOT-23",58.800000,-155.600000,0.000000,top
"Q46","2N7002K","SOT-23",58.800000,-151.800000,0.000000,top
"Q47","2N7002K","SOT-23",58.800000,-148.000000,0.000000,top
"Q48","2N7002K","SOT-23",58.800000,-163.200000,0.000000,top
"Q49","2N7002","SOT-23",62.474940,-121.372301,0.000000,top
"Q50","2N7002","SOT-23",62.474940,-132.772301,0.000000,top
